OBJECTID,PERMITTYPE,OCCUPANCYTYPE,PERMITNUMBER,EFFECTIVEDATE,EXPIRATIONDATE,RAINDATE,PURPOSE,STATUS,SEG_ID,TYPE,ADDRESS
1043,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521796,PAVING,2400 W CAMBRIA ST  
1044,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521797,PAVING,2300 W CAMBRIA ST  
1045,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521876,PAVING,2200 W SOMERSET ST  
1046,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521878,PAVING,2200 W SOMERSET ST  
1047,StreetScape,Full Closure,G2014-00097,2015-07-15T00:00:00.000Z,,,StreetScape,Future,521879,PAVING,2700 N 22ND ST  
1048,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,521880,PAVING,2200 W SOMERSET ST  
1049,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,540066,PAVING,3100 N 5TH ST  
1050,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,540175,PAVING,3000 N 5TH ST  
1051,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,540391,PAVING,2900 N 5TH ST  
1052,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,540596,PAVING,2800 N 5TH ST  
1053,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,540721,PAVING,2300 E TIOGA ST  
1054,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,540794,PAVING,2700 N 5TH ST  
1055,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,540851,PAVING,2400 E TIOGA ST  
1056,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541000,PAVING,2000 E ANN ST  
1057,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541007,PAVING,2100 E ANN ST  
1058,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541127,PAVING,2100 E ANN ST  
1059,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541179,PAVING,2100 E ANN ST  
1060,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541219,PAVING,3100 TULIP ST  
1061,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541223,PAVING,3200 CHATHAM ST  
1062,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541224,PAVING,2400 E MADISON ST  
1063,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541252,PAVING,2200 E ANN ST  
1064,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541299,PAVING,2400 E MADISON ST  
1065,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541627,PAVING,2600 E MADISON ST  
1066,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541664,PAVING,2800 TULIP ST  
1067,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541667,PAVING,2600 E MADISON ST  
1068,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541703,PAVING,2600 E MADISON ST  
1069,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541709,PAVING,2800 TULIP ST  
1070,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541750,PAVING,2700 E MADISON ST  
1071,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541767,PAVING,2800 TULIP ST  
1072,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,541793,PAVING,2700 E MADISON ST  
1073,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,542218,PAVING,2000 N 12TH ST  
1074,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,542613,PAVING,1300 W MONTGOMERY AVE  
1075,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,542628,PAVING,1800 N 12TH ST  
1076,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,542629,PAVING,1200 W MONTGOMERY AVE  
1077,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,542646,PAVING,1100 W MONTGOMERY AVE  
1078,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,542671,PAVING,1000 W MONTGOMERY AVE  
1079,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,542815,PAVING,1700 N 12TH ST  
1080,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,542958,PAVING,1300 W OXFORD ST  
1081,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,543277,PAVING,1500 N 6TH ST  
1082,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,543629,PAVING,1900 N 12TH ST  
1083,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,543633,PAVING,1300 W MONTGOMERY AVE  
1084,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,543649,PAVING,2200 E ANN ST  
1085,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600146,PAVING,300 LEVERINGTON AVE  
1086,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600147,PAVING,300 LEVERINGTON AVE  
1087,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600148,PAVING,300 LEVERINGTON AVE  
1088,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600149,PAVING,200 LEVERINGTON AVE  
1089,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600163,PAVING,300 GREEN LN  
1090,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600164,PAVING,300 GREEN LN  
1091,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600165,PAVING,300 GREEN LN  
1092,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600166,PAVING,300 GREEN LN  
1093,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600167,PAVING,200 GREEN LN  
1094,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600178,PAVING,4400 MITCHELL ST  
1095,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600189,PAVING,400 GREEN LN  
1096,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600538,PAVING,300 LEVERINGTON AVE  
1097,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,600542,PAVING,200 GREEN LN  
1098,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,620342,PAVING,3100 N HEMBERGER ST  
1099,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,620577,PAVING,1600 W MENTOR ST  
1100,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,620805,PAVING,200 BERKLEY ST  
1101,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,620806,PAVING,300 BERKLEY ST  
1102,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,620807,PAVING,300 BERKLEY ST  
1103,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,620809,PAVING,300 BERKLEY ST  
1104,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,621820,PAVING,3200 SCOTTS LN  
1105,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,621821,PAVING,3500 SCOTTS LN  
1106,ADA Ramps & Resurfacing,Full Closure,G2015-01399,2016-04-04T00:00:00.000Z,,,ADA Ramps & Resurfacing,Future,621841,PAVING,3600 W SCHOOL HOUSE LN  
1107,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,621848,PAVING,1600 SAINT LUKES ST  
1108,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,621849,PAVING,1700 SAINT LUKES ST  
1109,Resurf/Signals/Stlight,Full Closure,G2004-0040,2017-03-09T00:00:00.000Z,,,Resurf/Signals/Stlight,Future,621936,PAVING,6000 LINCOLN DR  
1110,Resurf/Signals/Stlight,Full Closure,G2004-0040,2017-03-09T00:00:00.000Z,,,Resurf/Signals/Stlight,Future,621937,PAVING,6000 LINCOLN DR  
1111,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,640085,PAVING,100 W ROCKLAND ST  
1112,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,640087,PAVING,100 W ROCKLAND ST  
1113,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,640090,PAVING,100 W ROCKLAND ST  
1114,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,640093,PAVING,100 W ROCKLAND ST  
1115,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,640101,PAVING,100 E ROCKLAND ST  
1116,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,640344,PAVING,4600 LARGE ST  
1117,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,640412,PAVING,1300 BELFIELD AVE  
1118,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,640418,PAVING,4700 OAKLAND ST  
1119,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,640466,PAVING,4400 OLD YORK RD  
1120,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,641357,PAVING,3700 N 5TH ST  
1121,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,641400,PAVING,3700 N 5TH ST  
1122,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,641430,PAVING,4000 TORRESDALE AVE  
1123,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,641430,PAVING,4000 TORRESDALE AVE  
1124,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,641430,PAVING,4000 TORRESDALE AVE  
1125,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,641430,PAVING,4000 TORRESDALE AVE  
1126,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,641518,PAVING,3600 N 5TH ST  
1127,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,641588,PAVING,3500 N 5TH ST  
1128,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,641621,PAVING,3500 N 5TH ST  
1129,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,641753,PAVING,300 E TIOGA ST  
1130,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,641757,PAVING,300 E TIOGA ST  
1131,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,641761,PAVING,3400 N 5TH ST  
1132,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,641767,PAVING,400 E TIOGA ST  
1133,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,641771,PAVING,400 E TIOGA ST  
1134,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,641777,PAVING,400 E TIOGA ST  
1135,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,641782,PAVING,400 E TIOGA ST  
1136,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,641791,PAVING,500 E TIOGA ST  
1137,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,641942,PAVING,1000 E TIOGA ST  
1138,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,641972,PAVING,1100 E TIOGA ST  
1139,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,641979,PAVING,3200 N 5TH ST  
1140,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,642076,PAVING,100 E WESTMORELAND ST  
1141,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,642081,PAVING,100 E WESTMORELAND ST  
1142,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,642095,PAVING,100 E WESTMORELAND ST  
1143,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,642107,PAVING,200 E WESTMORELAND ST  
1144,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,642116,PAVING,200 E WESTMORELAND ST  
1145,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,642124,PAVING,3300 G ST  
1146,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,642128,PAVING,200 E WESTMORELAND ST  
1147,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,642139,PAVING,3300 G ST  
1148,Mill/Resurf,Full Closure,G2013-00311,2014-01-01T00:00:00.000Z,,,Mill/Resurf,Future,642156,PAVING,3200 N 5TH ST  
1149,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,642174,PAVING,3300 G ST  
1150,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,642198,PAVING,3300 G ST  
1151,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,642236,PAVING,3300 G ST  
1152,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,642291,PAVING,3200 G ST  
1153,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,642332,PAVING,3200 G ST  
1154,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,642374,PAVING,3200 G ST  
1155,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,642409,PAVING,3200 G ST  
1156,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,642547,PAVING,1000 E TIOGA ST  
1157,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,660213,PAVING,4300 BATH ST  
1158,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,660214,PAVING,4300 BATH ST  
1159,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,660215,PAVING,4300 BATH ST  
1160,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,660216,PAVING,4100 BATH ST  
1161,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660259,PAVING,2300 CHURCH ST  
1162,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660260,PAVING,2300 CHURCH ST  
1163,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660261,PAVING,2300 CHURCH ST  
1164,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660262,PAVING,2300 CHURCH ST  
1165,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660263,PAVING,2400 CHURCH ST  
1166,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660270,PAVING,4200 TACONY ST  
1167,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,660293,PAVING,4700 JAMES ST  
1168,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660561,PAVING,4100 TORRESDALE AVE  
1169,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660562,PAVING,4100 TORRESDALE AVE  
1170,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660562,PAVING,4100 TORRESDALE AVE  
1171,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660562,PAVING,4100 TORRESDALE AVE  
1172,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660562,PAVING,4100 TORRESDALE AVE  
1173,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,660853,PAVING,4800 JAMES ST  
1174,Construction & Improvements,Full Closure,G2015-01262,2016-11-01T00:00:00.000Z,,,Construction & Improvements,Future,660930,PAVING,2200 ADAMS AVE  
1175,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,660944,PAVING,5300 JAMES ST  
1176,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,660961,PAVING,2800 HEDLEY ST  
1177,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,660962,PAVING,2800 HEDLEY ST  
1178,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,660963,PAVING,2800 E BRISTOL ST  
1179,Mill/Resurf,Full Closure,G2014-00651,2014-11-04T00:00:00.000Z,,,Mill/Resurf,Future,660964,PAVING,2800 E BRISTOL ST  
